id_caserne,no_caserne,adresse,nom_ssi,coord_x,coord_y
"1502","1","1150, boulevard Vézina, Dolbeau-Mistassini G8L3K9",SSI Dolbeau-Mistassini,-72.2371960125144,48.8750569251224
"1504","4","312, rue Édouard-Niquet, Péribonka G0W2G0",SSI Dolbeau-Mistassini,-72.0496908598834,48.7656947187248
"868","15","122, route 132 St-Michel de Bellechasse Saint-Michel-de-Bellechasse G0R3S0",SSI Saint-Michel-de-Bellechasse,-70.9068924817618,46.8734274739321
"176","6",111 rue Béliveau Saint-Léonard-d'Aston  J0C1M0,SSI Saint-Léonard-d'Aston,-72.3710737834662,46.1056531337176
"153",St-Louis-Blandford,"80, rue Principale,  Saint-Louis-de-Blandford, Qc G0Z1B0",RIM-Incentraide (R4125),-72.0022224157782,46.2492522171141
"313","54",004 Errol Road Grosse-Ile  Îles-de-la-Madeleine Grosse-Île G4T6C5,SSI Les Îles-de-la-Madeleine,-61.4728364223101,47.6159734929752
"1507","4","193, rue Principale, Girardville G0W1R0",RIM-Le GÉANT (R4903),-72.5442171122378,49.0008100148267
"131","7","1060, rang St-Pierre Sud Hérouxville GOX 1J0 Hérouxville G0X1J0",RIM-du Centre-Mékinac (R4914),-72.6142075017539,46.6735071041729
"1441","19",1819 Rue Principale Duhamel J0V1G0,SSI Duhamel (Outaouais),-75.0806063738034,46.01907016696
"87","5",100 rue  Commercial  Tring-Jonction G0N1X0,RIM-SSI Tring-Jonction,-70.9942640650851,46.2710498774059
"1517","43","357, 2e Rang, Saint-Charles-de-Bourget G0V1G0",SSI Saint-Charles-de-Bourget,-71.3977086309512,48.5176008629809
"1223","53","214 route 199, Grande-Entrée, QC G4T 7A7",SSI Les Îles-de-la-Madeleine,-61.5133102317044,47.5653933809598
"152","1",1060 boul.Ducharme  La Tuque G9X3C4,SSI La Tuque,-72.7843645663314,47.4215852737795
"1370","4",5260 Avenue Van Horne Montréal H3W1J9,SSI Montréal,-73.6416379375888,45.4899899438558
"577","2","5005, boul. Hébert secteur St-Timothée Salaberry-de-Valleyfield J6S6C2",SSI Salaberry-de-Valleyfield,-74.0520186582466,45.287759167887
"1497","31","37, rue du Quai, Petit-Saguenay G0V1N0",Régie du Fjord,-70.0774887924422,48.2160518593048
"1234","43","411 Boulevard Industriel, Val-des-Sources (Qc)",SSI Val-des-Sources,-71.9368988645108,45.7631396238082
"1513","3","444, boulevard de l'Université Est, Saguenay G7H2M2",SSI Saguenay,-71.0568450156525,48.41755969249
"1524","1","1207, boulevard Saint-Félicien, Saint-Félicien G8K3H5",SSI Saint-Félicien,-72.4613959117158,48.6538883926811
"1546","56","690 	Route 199 (Havre-aux-Maisons) Les Îles-de-la-Madeleine G4T5A8",SSI Les Îles-de-la-Madeleine,-61.7871173831277,47.4065709745856
"1301","6","781 1ere rue Ouest, Barraute J0Y1A0",SSI Barraute,-77.6377225028914,48.4423646833932
"459","17",100 Rue Françis St-Alexis-des-Monts Saint-Alexis-des-Monts J0K1V0,SSI Saint-Alexis-des-Monts,-73.1468007310092,46.4596840627152
"1536","6","82, rue Élie, Sainte-Hedwidge G0W2R0",SSI Roberval,-72.3638601312013,48.4823408164875
"1529","2","315, rue de l'Église, Saint-François-de-Sales G0W1M0",SSI Roberval,-72.1273682009706,48.3241508010442
"1235","47","44 Daniel-Johnson, Danville (Qc)",SSI Danville,-72.0164978987265,45.7848743342422
"1285",TEM-17,53 3e Rue Sud Béarn J0Z1G0,Régie du Témiscamingue (RISIT),-79.3280017829372,47.2849479679427
"1236",SSIR - 1,"355, rue Principale Saint-Jacques-de-Leeds, G0N 1J0",SSIR Saint-Jacques-de-Leeds,-71.3376574440297,46.2886525973204
"1405","2",39 Chemin de la Rivière Chelsea J9B2M6,SSI Chelsea,-75.8723076846427,45.5767342940872
"500","60","101, rue de la Plage, Saint-Alphonse-Rodriguez J0K1W0",SSI Saint-Alphonse-Rodriguez,-73.6882053626916,46.1858614209048
"631","15",102 de la Fabrique  Saint-Marc-sur-Richelieu J0L2E0,SSI Saint-Marc-sur-Richelieu,-73.1948873652155,45.678266863829
"1461","3",1177 Route 315 L'Ange-Gardien J8L0L4,SSI L'Ange-Gardien (Région 7),-75.3967772353496,45.6087005782861
"378","10",1067 principale Petite-Rivière-Saint-François Petite-Rivière-Saint-François G0A2L0,SSI Petite-Rivière-Saint-François,-70.5682016944487,47.3019867285937
"135","8",100 rue Paquin Portneuf Portneuf G0A2Y0,Régie portneuvoise (REPPI),-71.8865419903227,46.6959677914043
"367","13",47 chemin de la Traverse Isle-aux-Coudres L'Isle-aux-Coudres G0A3J0,SSI L'Isle-aux-Coudres,-70.3806819459096,47.4179652742314
"1237",SSIR - 2,"55, rue Saint-Pierre, Saint-Pierre-de-Broughton, G0N 1T0",SSIR Saint-Jacques-de-Leeds,-71.2059226412117,46.2429997871861
"656","25","6528, rue Morin, Val-Morin, QC J0T2R0",Régie des Monts,-74.1967193964697,46.0087911615851
"523","57","30, route du Lac-Rond Nord, Montcalm, Qc J0T2V0",SSI Mont-Tremblant,-74.5463371400375,45.9420172833537
"511","46",103 Principale Saint-Georges-de-Clarenceville Saint-Georges-de-Clarenceville J0J1B0,SSI Clarenceville/Noyan,-73.2400281788357,45.0637166168687
"399","55","10, rue Desrosiers  Saint-Aubert G0R2R0",SSI Saint-Aubert,-70.2190362622993,47.181626716416
"970","12","21, rue le Carrefour Fermont    G0G 1J0",SSI Fermont,-67.0894651625668,52.8000742809194
"142",100 - Black Lake,"100, rue du centre, Thetford Mines G6H2K8",SSI Thetford Mines,-71.3603368504808,46.0390986655866
"1562","3","13925 Rue Morissette, Saint-Hyacinthe, J2R 1M9",SSI Saint-Hyacinthe,-72.9044970711639,45.641573098459
"1444","22",214 Route 307 Bowman J0X3C0,SSI Val-des-Bois,-75.635387106314,45.8804913126922
"1318",TEM-10,6 Rue Principale Ouest Latulipe-et-Gaboury J0Z2N0,SSI Fugèreville,-79.0335678180232,47.426910525647
"175","4","1120, rue Héon, Saint-Wenceslas, Qc.G0Z 1J0",SSI Saint-Wenceslas,-72.3228364691009,46.1672654319465
"356","5","119,Principale  Saint-Aimé-des-Lacs G0T1S0",SSI Saint-Aimé-des-Lacs,-70.3088021732406,47.6825660242126
"200","8","450, 12e avenue, Deschaillons-sur-Saint-Laurent, Qc. G0S 1G0",SSI MRC Bécancour (AR380),-72.107002278945,46.5518641839059
"4","1",106 rue de l'hotel de ville  Saint-Odilon-de-Cranbourne G0S3A0,SSI Saint-Odilon-de-Cranbourne,-70.676802084542,46.357049325293
"299","1","11170, rue Beauregard  Beaupré Beaupré G0A1E0",SSI Beaupré,-70.8903771700143,47.0464490340275
"769","1","116, chemin du Lac-Louisa Sud, Wentworth J8H0C5",SSI Wentworth,-74.4049387182472,45.7676080377368
"665","70","115, rue Saint-Jacques, Saint-Jacques J0K2R0",SSI MRC Montcalm (AR630),-73.5718791041117,45.9488590811738
"211","74",78 Rue des Érables Caplan Caplan G0C1H0,SSI Caplan,-65.6782676811108,48.111043587142
"401","37","11, rue Des Saules Cap-Chat Cap-Chat G0J1E0",SSI Cap-Chat,-66.6850799803075,49.0960993751496
"1343","3",256 Rue Young Montréal H3C2G2,SSI Montréal,-73.5601720032194,45.493454379373
"294","7","11, avenue Commerciale St-Charles de Bellechasse Saint-Charles-de-Bellechasse G0R2T0",SSI Saint-Charles-de-Bellechasse,-70.9453580751755,46.774021540615
"581","1","736, boul. du Havre secteur Valleyfield Salaberry-de-Valleyfield J6S1W1",SSI Salaberry-de-Valleyfield,-74.113638549706,45.2641032228519
"1039","40","1, 1re avenue ouest Mont-Louis Saint-Maxime-du-Mont-Louis G0E1T0",SSI Saint-Maxime-du-Mont-Louis,-65.7312543962952,49.2291577551781
"19","56","116 rue Du Domaine, Courcelles G0M1C0",SSI de La Haute-Beauce,-70.9829219440713,45.8737634395171
"84","9","1130, route de l'Église Sainte-Foy G1V 4E1 Québec G1V4X6",SSI Québec,-71.292073992846,46.7692603891576
"881","6","3175, rue College, Sherbrooke, J1M 2L2",SSI Sherbrooke,-71.8733509010755,45.3652770536547
"451",,11 c Principale Sutton Sutton J0E2K0,SSI Sutton,-72.6157421705098,45.1070033053058
"8",77 - NDB,"43 route de l'église, Notre-Dame-des-Bois J0B2E0",SSI Notre-Dame-des-Bois,-71.0733929856891,45.3903798461643
"486","44",115 Rg de La Baie Saint-Sébastien (Québec) Saint-Sébastien J0J2C0,SSI Venise-en-Québec,-73.1482556652516,45.1240735452544
"1207","4","10597 chemin Sainte-Marguerite, Trois-Rivières G9B 6N6",SSI Trois-Rivières,-72.6745038978463,46.2885855790317
"727","54","1261, chemin du Lac Supérieur, Lac-Supérieur, Qc J0T1J0",SSI Mont-Tremblant,-74.4751574397714,46.1820317366639
"341","22",114 rue du Parc  Saint-Cyprien G0L2P0,SSI Saint-Cyprien,-69.0231625523708,47.8908794265836
"1205","1",6490 boulevard des Chenaux Trois-Rivières G8Y 5S8,SSI Trois-Rivières,-72.6096083196077,46.3575508356597
"1094","3","350 rue Rochefort, Trois-Rivières G8T 7K1",SSI Trois-Rivières,-72.5298302141242,46.3695743413283
"570","1","195, rue Principale  Saint-Louis-de-Gonzague J0S1T0",SSI Saint-Louis-de-Gonzague (16),-74.0068406036762,45.2124725818663
"876","5","1310, rue Oscar-Masson Trois-Rivières  G8T 8X5",SSI Trois-Rivières,-72.5939414626941,46.4223024450823
"1206","2",7225 boulevard Jean-XXIII Trois-Rivières G9A 5C9,SSI Trois-Rivières,-72.601272026995,46.3227150220893
"569","7","489, chemin St-Louis  Saint-Étienne-de-Beauharnois J0S1S0",SSI Saint-Étienne-de-Beauharnois,-73.9222587084588,45.2419003163083
"563","18","3, rue des Copains  Sainte-Martine J0S1V0",SSI Sainte-Martine,-73.7978027778507,45.2490820577778
"517","41","6, rue de l'École  Saint-Urbain-Premier J0S1Y0",SSI Saint-Urbain-Premier,-73.7375805881744,45.2208504367658
"958","4","1124, rue Dulcinée Havre-Saint-Pierre, (Québec) Havre-Saint-Pierre G0G1P0",SSI Havre-Saint-Pierre,-63.6011367065355,50.2436610790766
"677","2","1133, chemin de Val des Lacs, Sainte-Sophie J5J2S8",SSI Sainte-Sophie,-73.9802273932574,45.8267871067093
"1238",300 - Robertson,"5726, boulevard Frontenac Est, Thetford Mines, G6H 4H7",SSI Thetford Mines,-71.2169539778378,46.1401352232691
"718","23","2112, chemin des Hauteurs, Sainte-Lucie-des-Laurentides, Québec, J0T2J0",Régie des Monts,-74.1838156574733,46.1321491184325
"1240",St-Rosaire,"14 route de la coupe, Saint-Rosaire, Qc. G0Z 1K0",RIM-Incentraide (R4125),-72.0207759549008,46.1621508726613
"13","70","505 Rue Principale, Saint-Robert-Bellarmin G0M2E0",SSI Saint-Robert-Bellarmin,-70.5848597012611,45.7476720004064
"1239","11","20, montée Charron, Val-des-Lacs, Qc, J0T 2P0",SSI Val-des-Lacs,-74.3467594194213,46.179927578665
"1352","13",3250 Rue Sainte-Catherine Est Montréal H1W2C6,SSI Montréal,-73.540309891551,45.5398678901337
"1246","1","435, rue Théophile Saint-Laurent, Nicolet, Qc. J3T 1B4",SSI Nicolet,-72.6075282286588,46.224205678796
"1520","32","3425, rue Ambroise, Labrecque G0W2S0",RIM-Secteur Nord Lac-St-Jean-Est (R4912),-71.5247141139645,48.67497497309
"1525","35","401, rue de l'Hôtel-de-Ville, Saint-Henri-de-Taillon G0W2X0",RIM-Secteur Nord Lac-St-Jean-Est (R4912),-71.8246893228703,48.6626330474357
"1344","20",920 Rue Saint-Urbain Montréal H2Z1K4,SSI Montréal,-73.5591487444245,45.5059356891279
"38","4","24 rue St- Marc, Dudswell J0B1G0",Régie des Rivières (R4132),-71.5905305132203,45.6334068696841
"1248","4","12, côte de l'Église, Saint-Philippe-de-Néri (Québec) G0L 4A0",SSI Saint-Pascal,-69.8862395819878,47.4667630805032
"1250","70",12 rue Sirois Les Escoumins,SSI Forestville,-69.4086131152835,48.3502410200352
"1251","71",314 Route 138 (saute-aux-Moutons) Longue-Rive,SSI Forestville,-69.2588834085816,48.5378270536684
"638","29","1860, route Marie-Victorin, Varennes Varennes J3X1P7",SSI Varennes,-73.4380477612138,45.6732841033216
"1253",Pessamit,80 rue Ashini Pessamit,SSI Pessamit,-68.6530437807104,48.9440403105963
"1118","14","15, rue de la Fabrique, Saint-René-de-Matane",SSI MRC La Matanie (AR080),-67.3863288417707,48.7080316592776
"1134","20","11, rue Principale, Saint-Adelme",SSI MRC La Matanie (AR080),-67.3239857985117,48.826442915692
"1242","2","8275 boulevard Bécancour, Bécancour, Qc. G9H 4V1",SSI Bécancour,-72.4321661786709,46.3494767355231
"1534","27","234, rue Saint-Louis, Métabetchouan - Lac-à-la-Croix G8G2C4",RIM-Secteur Sud Lac-St-Jean-Est (R4913),-71.7825204751461,48.4080588096847
"1243","5","11700 chemin Saint-Laurent, Bécancour, Qc. G9H 3G2",SSI Bécancour,-72.403791355163,46.2905198115693
"1252",Kawawachikamach,chemin Naskapi,SSI Kawawachikamach,-66.7616405698028,54.8619301882249
"1244","10","261-B, rang Saint-Antoine, Sainte-Sophie-de-Lévrard, Qc. G0X 3C0",SSI MRC Bécancour (AR380),-72.1202603870498,46.4078344543182
"1499","2","123, rue des Pluviers, Alma G8E2H8",SSI Alma,-71.6982771546533,48.631843411143
"154",Daveluyville,"134, rue Principale, Daveluyville, Qc G0Z1C0",RIM-Des Chutes (R4119),-72.1409812606553,46.2115826407361
"1289",TEM-07,4 Rue Piché Ouest Saint-Bruno-de-Guigues J0Z2G0,Régie du Témiscamingue (RISIT),-79.4391272367347,47.4620669277976
"1297",TEM-06,4 Rue Notre-Dame Ouest Saint-Eugène-de-Guigues J0Z3L0,SSI Saint-Eugène-de-Guigues,-79.3529393517919,47.5116063952541
"1294",TEM-03,18 Rue Principale Nédélec J0Z2Z0,SSI Nédélec,-79.4256198040501,47.6901593401674
"579","1","10, rue de la Mairie, Saint-André-d'Argenteuil J0V1X0",SSI Saint-André-d'Argenteuil,-74.3330700593898,45.5596767803684
"1291",TEM-05,14 Rue de la Baie-Miller Laverlochère-Angliers J0Z1A0,SSI Laverlochère-Angliers,-79.240168422797,47.5489647550232
"1305","11",2 Avenue du Chemin-de-Fer Dupuy J0Z1X0,SSI Dupuy,-79.3574421777609,48.8290080189934
"1316","6",12 Rue Duparquet Duparquet J0Z1W0,SSI Duparquet,-79.2222488159179,48.5049943625688
"1306","8",204 Chemin de la Rivière Ouest Gallichan J0Z2B0,SSI Gallichan,-79.2994460775543,48.6031924707427
"1307","1",13 3e Avenue Est La Sarre J9Z1H5,SSI La Sarre,-79.2042627840673,48.80724185511
"1308","12",79 Rue Commerciale Normétal J0Z3A0,SSI Normétal,-79.355801287166,48.996820608673
